88.39	117509	1777158	8082.00867983	24481.3196	353.828	5640	338	3409	15.24	22304778708	4297193	4371120763	0
86.27	112933	1797526	7890.73178802	25606.8006	365.57	5672	380	3376	15.13	22419891708	4298025	4941861347	29
87.83	109673	1817872	8036.01909586	25352.2733	363.679	5648	375	3227	15.19	22141501610	4300551	4977215293	188
88.2	117189	1837631	8072.49488732	25792.7606	369.262	5702	333	3352	15.03	22276386524	4298185	5037332202	318
85.15	107241	1853657	7795.88909391	26696.7857	379.251	5688	394	3154	15.1	22224260597	4300839	5266065050	343
87.96	101332	1867571	8055.73113037	26056.3076	378.491	5591	357	3065	15.39	22176736929	4303966	5077306379	631
88.72	101348	1881351	8127.83844849	26882.1696	404.779	5402	336	3140	15.92	22054420864	4301829	5160924870	603
90.32	122792	1899209	8276.98876067	27814.0407	414.048	5401	403	3831	15.9	22225479222	4300418	6301530936	1267
87.8	116341	1919681	8048.57561378	28230.111	417.08	5457	391	3644	15.67	22338079736	4306289	6372683499	935
86.98	140135	1942480	7975.83333122	26762.9284	408.104	5325	341	4305	16.1	26658490658	4311905	7720771554	1104
95.88	137409	1964727	8794.6702613	27740.2141	414.448	5462	321	4245	15.74	22641931556	4305758	7193965880	1127
124.38	161568	1993428	11412.3857868	28816.636	431.65	5424	344	4801	15.83	22510140833	4312190	8397664033	1694
123.06	130912	2017264	11294.7961789	29609.4667	439.714	5489	329	4179	15.59	22578527232	4304681	7231434396	1842
148	149699	2041878	13588.1009871	30501.1451	451.327	5437	402	4586	15.77	22366670221	4308439	7608565060	1986
160.39	176255	2074888	14730.2596823	31382.7051	463.103	5468	387	5328	15.71	22950916506	4308849	8262616027	2100
169.5	187121	2119587	15571.7681205	30236.4543	448.717	5419	403	6627	15.83	22876914693	4312520	10792046776	2229
193.03	187293	2162097	17738.9711133	30975.705	458.978	5427	404	6666	15.77	23511877462	4317916	11331763125	3003
177.33	183010	2201139	16301.2939709	31139.2104	457.711	5465	413	5952	15.71	22627478169	4311181	9970769428	2234
162.83	169818	2235403	14973.079138	31197.0515	456.542	5492	412	5559	15.57	22767260891	4311949	9457379360	1917
156.63	149450	2262189	14407.4628822	32153.7231	473.268	5439	431	5127	15.76	22312210827	4309863	8220637008	1971
172.86	155271	2288310	15905.3465232	31940.9693	469.177	5453	429	5379	15.7	21916364414	4311272	8823289197	2102
194.17	158547	2316858	17871.8762727	34015.7294	487.713	5579	447	4922	15.32	22429141176	4310470	8502914345	3863
228.58	193618	2360680	21045.8719835	36263.7391	513.217	5581	524	7069	15.3	24758885831	4369809	12123850008	3124
228.64	214126	2406002	21057.9693604	35309.9381	519.724	5412	458	6843	15.87	38210063774	4307816	12807114092	1970
220.7	199160	2445012	20332.8824454	37244.2449	561.001	5276	460	6541	16.22	23808562950	4310276	10585577059	2043
222.04	194911	2486438	20462.2906307	36298.9273	574.506	5087	372	7542	16.82	22913829909	4479219	12488700413	2108
